epoch,loss,val_loss
0,2.51909827839,2.2868067274
1,2.20633024736,2.18380102559
2,2.12935407168,2.14928177128
3,2.08884697936,2.15163937504
4,2.0664550163,2.12248133561
5,2.05190469328,2.11047515134
6,2.04003672123,2.10127184232
7,2.02759828147,2.09478081096
8,2.02019403341,2.08419119365
9,2.0137851571,2.09110002207
10,2.00899524348,2.07997095887
11,2.00403127061,2.06691264096
12,1.9968137794,2.07811417913
13,1.99440537532,2.08933023157
14,1.99113737802,2.07994757331
15,1.9917136361,2.06366878274
16,1.98767191899,2.0722176802
17,1.98527577857,2.07333346412
18,1.98564859082,2.08242617801
19,1.98354136578,2.07780788568
epoch,loss,val_loss
0,1.95618578484,2.12162472165
1,1.92896382672,2.12323752567
2,1.90826586204,2.13504932621
3,1.88789270832,2.13053573904
4,1.87979986858,2.13432239095
5,1.86070955363,2.12844755851
6,1.85825611266,2.1390720061
7,1.85037945071,2.14291067716
8,1.84242372345,2.16205981874
9,1.84377386935,2.14486535862
10,1.84409569788,2.14050540491
11,1.82818482826,2.14503020642
12,1.83301272287,2.15893712555
13,1.82411759962,2.1679634083
14,1.83055466002,2.15324851866
15,1.82143228838,2.14452431668
16,1.8081431468,2.16201664601
17,1.81710190314,2.16305848905
18,1.80900393037,2.164798271
19,1.81012861988,2.17308819968
