epoch,loss,val_loss
0,2.25283119892,2.15935773015
1,1.90717845722,2.04443366865
2,1.82879069715,1.99807116427
3,1.78438028068,1.98244611458
4,1.75479719784,1.96157612159
5,1.73638398351,1.97689062441
6,1.72281906513,1.94212828732
7,1.7109915173,1.94671781758
8,1.70205863555,1.92155586273
9,1.69413710165,1.92499134888
10,1.68672558519,1.91493392983
11,1.68221583147,1.93312865806
12,1.67641333701,1.93596462788
13,1.67291625633,1.91605649288
14,1.67134825218,1.89835810625
15,1.66606860929,1.91371598372
16,1.66260868186,1.89970221225
17,1.65828540562,1.92371026619
18,1.65808371907,1.8929536088
19,1.6533679812,1.9150956701
