epoch,loss,val_loss
0,2.7264207425,2.4350380618
1,2.28494878193,2.31748924175
2,2.16771791616,2.26240594151
3,2.1106484747,2.2185705822
4,2.06975975587,2.15600027254
5,2.038127922,2.15083513219
6,2.01652187956,2.14286358592
7,1.99639210753,2.13129324595
8,1.98308302895,2.12581706809
9,1.9702645075,2.10851472074
10,1.95596155679,2.10083996588
11,1.94387516289,2.07910631129
12,1.93680355786,2.0717607123
13,1.93232379913,2.08989387034
14,1.92838613092,2.10383428375
15,1.91815849333,2.08181594767
16,1.91249746334,2.07421844941
17,1.90769676058,2.05450563487
18,1.90523708405,2.08146753023
19,1.90051992366,2.08568921714
20,1.8955328899,2.06077309692
21,1.89029399969,2.05493156054
22,1.89197342156,2.05195210187
23,1.88911651228,2.04163639741
24,1.88371210042,2.03538893395
25,1.87970559142,2.04164458141
26,1.87853554093,2.05503139979
27,1.8769366443,2.03562789323
28,1.87100687502,2.03790565806
29,1.87025510529,2.02762551809
30,1.86841627769,2.03760343361
31,1.86730705009,2.03204848535
32,1.86732011769,2.03620364227
33,1.86209331454,2.02308150405
34,1.86241644007,2.01917289866
35,1.86000480919,2.04755102953
36,1.85693547847,2.02081893368
37,1.85427958157,2.02943428983
38,1.85094263138,2.01800965879
39,1.85531507551,2.0184904075
40,1.85295465217,2.02227073779
41,1.85005676109,2.01622690124
42,1.84822861903,2.02200593925
43,1.84784910608,2.01901226492
44,1.84432853315,2.04255963213
45,1.8448917066,2.02191888221
46,1.84766186396,2.02656437503
47,1.84650419466,2.03787752748
48,1.84563065453,2.03032738456
49,1.84237092372,2.00837178663
